Teamnum,Teamname,overflow,r1RoundinfoNumberRed,r1RoundinfoNumberBlue,r1RoundinfoNameRed,r1RoundinfoNameBlue,r1AlliancemateNumberRed,r1AlliancemateNumberBlue,r1AlliancemateNameRed,r1AlliancemateNameBlue,r1Opponent1NumberRed,r1Opponent1NumberBlue,r1Opponent1NameRed,r1Opponent1NameBlue,r1Opponent2NumberRed,r1Opponent2NumberBlue,r1Opponent2NameRed,r1Opponent2NameBlue,r2RoundinfoNumberRed,r2RoundinfoNumberBlue,r2RoundinfoNameRed,r2RoundinfoNameBlue,r2AlliancemateNumberRed,r2AlliancemateNumberBlue,r2AlliancemateNameRed,r2AlliancemateNameBlue,r2Opponent1NumberRed,r2Opponent1NumberBlue,r2Opponent1NameRed,r2Opponent1NameBlue,r2Opponent2NumberRed,r2Opponent2NumberBlue,r2Opponent2NameRed,r2Opponent2NameBlue,r3RoundinfoNumberRed,r3RoundinfoNumberBlue,r3RoundinfoNameRed,r3RoundinfoNameBlue,r3AlliancemateNumberRed,r3AlliancemateNumberBlue,r3AlliancemateNameRed,r3AlliancemateNameBlue,r3Opponent1NumberRed,r3Opponent1NumberBlue,r3Opponent1NameRed,r3Opponent1NameBlue,r3Opponent2NumberRed,r3Opponent2NumberBlue,r3Opponent2NameRed,r3Opponent2NameBlue,r4RoundinfoNumberRed,r4RoundinfoNumberBlue,r4RoundinfoNameRed,r4RoundinfoNameBlue,r4AlliancemateNumberRed,r4AlliancemateNumberBlue,r4AlliancemateNameRed,r4AlliancemateNameBlue,r4Opponent1NumberRed,r4Opponent1NumberBlue,r4Opponent1NameRed,r4Opponent1NameBlue,r4Opponent2NumberRed,r4Opponent2NumberBlue,r4Opponent2NameRed,r4Opponent2NameBlue,r5RoundinfoNumberRed,r5RoundinfoNumberBlue,r5RoundinfoNameRed,r5RoundinfoNameBlue,r5AlliancemateNumberRed,r5AlliancemateNumberBlue,r5AlliancemateNameRed,r5AlliancemateNameBlue,r5Opponent1NumberRed,r5Opponent1NumberBlue,r5Opponent1NameRed,r5Opponent1NameBlue,r5Opponent2NumberRed,r5Opponent2NumberBlue,r5Opponent2NameRed,r5Opponent2NameBlue,r6RoundinfoNumberRed,r6RoundinfoNumberBlue,r6RoundinfoNameRed,r6RoundinfoNameBlue,r6AlliancemateNumberRed,r6AlliancemateNumberBlue,r6AlliancemateNameRed,r6AlliancemateNameBlue,r6Opponent1NumberRed,r6Opponent1NumberBlue,r6Opponent1NameRed,r6Opponent1NameBlue,r6Opponent2NumberRed,r6Opponent2NumberBlue,r6Opponent2NameRed,r6Opponent2NameBlue,r7RoundinfoNumberRed,r7RoundinfoNumberBlue,r7RoundinfoNameRed,r7RoundinfoNameBlue,r7AlliancemateNumberRed,r7AlliancemateNumberBlue,r7AlliancemateNameRed,r7AlliancemateNameBlue,r7Opponent1NumberRed,r7Opponent1NumberBlue,r7Opponent1NameRed,r7Opponent1NameBlue,r7Opponent2NumberRed,r7Opponent2NumberBlue,r7Opponent2NameRed,r7Opponent2NameBlue,r8RoundinfoNumberRed,r8RoundinfoNumberBlue,r8RoundinfoNameRed,r8RoundinfoNameBlue,r8AlliancemateNumberRed,r8AlliancemateNumberBlue,r8AlliancemateNameRed,r8AlliancemateNameBlue,r8Opponent1NumberRed,r8Opponent1NumberBlue,r8Opponent1NameRed,r8Opponent1NameBlue,r8Opponent2NumberRed,r8Opponent2NumberBlue,r8Opponent2NameRed,r8Opponent2NameBlue,r9RoundinfoNumberRed,r9RoundinfoNumberBlue,r9RoundinfoNameRed,r9RoundinfoNameBlue,r9AlliancemateNumberRed,r9AlliancemateNumberBlue,r9AlliancemateNameRed,r9AlliancemateNameBlue,r9Opponent1NumberRed,r9Opponent1NumberBlue,r9Opponent1NameRed,r9Opponent1NameBlue,r9Opponent2NumberRed,r9Opponent2NumberBlue,r9Opponent2NameRed,r9Opponent2NameBlue
6935,PARADOX,,,1,,blue 1,,3486,,Techno Warriors,7006,,RoboTitans,,9746,,PML30-phi,,,31,,blue 2,,9754,,So7en,3805,,Atomic Robotics,,6510,,CyberSharks,,39,,red 2,,4318,,Super 7,,,6081,,i^2r robotics,,4082,,RoboSpartans,49,,red 2,,6389,,The LazyBotts,,,5894,,V-CUBE,,4530,,Infinite Resistance,72,,red 1,,7350,,Watts NXT?,,,6735,,Team Medusa,,201,,The Robo Broncos,,95,,blue 1,,8221,,CUBIX^3,6133,,"The ""NUTS!""",,7477,,Super 7,,,106,,blue 1,,5151,,Infinity,6299,,ViperBots QuadX,,9048,,Philobots,,,115,,blue 2,,7550,,BuffnBlue 7550,8327,,Spartans,,9747,,Carousel,,,142,,blue 2,,2844,,Valley X Robotics,4029,,2 Bits and a Byte,,8338,,Shatterdome,
7006,RoboTitans,,1,,red 1,,9746,,PML30-phi,,,6935,,PARADOX,,3486,,Techno Warriors,,17,,blue 1,,6735,,Team Medusa,7138,,Mech Mayhem,,8790,,MoHawk Elites,,,44,,blue 1,,6037,,W.A.G.S.,6299,,ViperBots QuadX,,9747,,Carousel,,,57,,blue 1,,9749,,Smurfs,7187,,Team Axis,,6007,,Octopi,,,76,,blue 2,,7477,,Super 7,519,,ED Too,,6081,,i^2r robotics,,90,,red 1,,4029,,2 Bits and a Byte,,,201,,The Robo Broncos,,3415,,Lancers,,99,,blue 2,,8338,,Shatterdome,4137,,IslandBots,,3805,,Atomic Robotics,,122,,red 2,,4017,,roboPandas,,,8330,,AZTECH II,,6510,,CyberSharks,141,,red 1,,4100,,Darbots 1,,,8609,,"Blue Crew, Too",,724,,RedNek Wun
7023,HexaSonics,,14,,red 1,,7187,,Team Axis,,,4029,,2 Bits and a Byte,,3805,,Atomic Robotics,,32,,blue 1,,8609,,"Blue Crew, Too",4017,,roboPandas,,6037,,W.A.G.S.,,48,,red 2,,7172,,Technical Difficulties,,,8471,,The Ducks,,5096,,Monkey Madness,,59,,blue 2,,6451,,Tarpon Robotics,5145,,Bronz Bots,,8790,,MoHawk Elites,,,71,,blue 2,,7487,,Super 7,4250,,LIGHTSABERS,,6389,,The LazyBotts,,82,,red 2,,6007,,Octopi,,,2844,,Valley X Robotics,,28,,PolyGnomes,,107,,blue 1,,5140,,WACO Aerobotics,7550,,BuffnBlue 7550,,9746,,PML30-phi,,124,,red 2,,7350,,Watts NXT?,,,5151,,Infinity,,5009,,Helios,134,,red 2,,9754,,So7en,,,5975,,CYBOTS,,7138,,Mech Mayhem
7138,Mech Mayhem,,7,,red 1,,8609,,"Blue Crew, Too",,,3595,,Schrodinger's Hat,,3085,,Higgs Bots,17,,red 1,,8790,,MoHawk Elites,,,7006,,RoboTitans,,6735,,Team Medusa,,45,,blue 2,,8327,,Spartans,4855,,Batteries In Black,,6451,,Tarpon Robotics,,,63,,blue 2,,4017,,roboPandas,5096,,Monkey Madness,,5466,,Combustible Lemons,,77,,red 1,,724,,RedNek Wun,,,8330,,AZTECH II,,4530,,Infinite Resistance,85,,red 1,,519,,ED Too,,,9048,,Philobots,,6433,,Neutrinos,,104,,blue 2,,6081,,i^2r robotics,8221,,CUBIX^3,,5009,,Helios,,,117,,blue 2,,5145,,Bronz Bots,4029,,2 Bits and a Byte,,3486,,Techno Warriors,,,134,,blue 2,,5975,,CYBOTS,9754,,So7en,,7023,,HexaSonics,
7172,Technical Difficulties,,,16,,blue 2,,6037,,W.A.G.S.,201,,The Robo Broncos,,9048,,Philobots,,29,,red 2,,724,,RedNek Wun,,,9747,,Carousel,,7187,,Team Axis,48,,red 1,,7023,,HexaSonics,,,8471,,The Ducks,,5096,,Monkey Madness,64,,red 2,,3415,,Lancers,,,6081,,i^2r robotics,,9754,,So7en,74,,red 1,,28,,PolyGnomes,,,5466,,Combustible Lemons,,9746,,PML30-phi,,83,,blue 2,,4318,,Super 7,8609,,"Blue Crew, Too",,9756,,M&T,,,112,,blue 1,,519,,ED Too,4855,,Batteries In Black,,6389,,The LazyBotts,,126,,red 2,,8790,,MoHawk Elites,,,4530,,Infinite Resistance,,6137,,RoBowties,,143,,blue 2,,7655,,The Q is Silqent,6735,,Team Medusa,,3595,,Schrodinger's Hat,
7187,Team Axis,,14,,red 2,,7023,,HexaSonics,,,4029,,2 Bits and a Byte,,3805,,Atomic Robotics,,29,,blue 2,,9747,,Carousel,724,,RedNek Wun,,7172,,Technical Difficulties,,,46,,blue 2,,4137,,IslandBots,8221,,CUBIX^3,,5140,,WACO Aerobotics,,57,,red 1,,6007,,Octopi,,,7006,,RoboTitans,,9749,,Smurfs,,66,,blue 1,,6299,,ViperBots QuadX,6137,,RoBowties,,3486,,Techno Warriors,,,92,,blue 1,,7350,,Watts NXT?,6081,,i^2r robotics,,5145,,Bronz Bots,,103,,red 2,,6133,,"The ""NUTS!""",,,8327,,Spartans,,5096,,Monkey Madness,128,,red 1,,4082,,RoboSpartans,,,6451,,Tarpon Robotics,,8338,,Shatterdome,,138,,blue 1,,5037,,got robot?,4017,,roboPandas,,5151,,Infinity,
7350,Watts NXT?,,,12,,blue 2,,724,,RedNek Wun,6451,,Tarpon Robotics,,3415,,Lancers,,28,,red 1,,7655,,The Q is Silqent,,,6299,,ViperBots QuadX,,6389,,The LazyBotts,,38,,blue 2,,9048,,Philobots,8330,,AZTECH II,,5975,,CYBOTS,,54,,red 1,,5037,,got robot?,,,7550,,BuffnBlue 7550,,4137,,IslandBots,72,,red 2,,6935,,PARADOX,,,6735,,Team Medusa,,201,,The Robo Broncos,,92,,blue 2,,7187,,Team Axis,6081,,i^2r robotics,,5145,,Bronz Bots,,,109,,blue 2,,3486,,Techno Warriors,8609,,"Blue Crew, Too",,9752,,AmazKing,,124,,red 1,,7023,,HexaSonics,,,5151,,Infinity,,5009,,Helios,136,,red 1,,4530,,Infinite Resistance,,,4082,,RoboSpartans,,9747,,Carousel
7477,Super 7,,,9,,blue 2,,7550,,BuffnBlue 7550,8790,,MoHawk Elites,,5975,,CYBOTS,,25,,red 1,,5894,,V-CUBE,,,201,,The Robo Broncos,,8330,,AZTECH II,,33,,blue 1,,4100,,Darbots 1,28,,PolyGnomes,,4530,,Infinite Resistance,,55,,red 2,,2844,,Valley X Robotics,,,6037,,W.A.G.S.,,3486,,Techno Warriors,,76,,blue 1,,7006,,RoboTitans,519,,ED Too,,6081,,i^2r robotics,,95,,red 2,,6133,,"The ""NUTS!""",,,6935,,PARADOX,,8221,,CUBIX^3,110,,red 1,,6510,,CyberSharks,,,6007,,Octopi,,5037,,got robot?,,123,,blue 2,,4855,,Batteries In Black,6433,,Neutrinos,,4318,,Super 7,,140,,red 1,,5009,,Helios,,,6137,,RoBowties,,3085,,Higgs Bots
7487,Super 7,,6,,red 1,,6081,,i^2r robotics,,,5037,,got robot?,,2844,,Valley X Robotics,,26,,blue 2,,5009,,Helios,4855,,Batteries In Black,,5466,,Combustible Lemons,,42,,red 2,,7655,,The Q is Silqent,,,9756,,M&T,,4017,,roboPandas,,50,,blue 2,,8330,,AZTECH II,6133,,"The ""NUTS!""",,4318,,Super 7,,,71,,blue 1,,7023,,HexaSonics,4250,,LIGHTSABERS,,6389,,The LazyBotts,,87,,red 2,,5096,,Monkey Madness,,,4137,,IslandBots,,6037,,W.A.G.S.,,97,,blue 1,,5975,,CYBOTS,9749,,Smurfs,,9747,,Carousel,,127,,red 2,,519,,ED Too,,,3595,,Schrodinger's Hat,,3415,,Lancers,,144,,blue 2,,28,,PolyGnomes,6433,,Neutrinos,,6451,,Tarpon Robotics,
7550,BuffnBlue 7550,,,9,,blue 1,,7477,,Super 7,8790,,MoHawk Elites,,5975,,CYBOTS,,,24,,blue 1,,28,,PolyGnomes,8338,,Shatterdome,,9756,,M&T,,37,,red 1,,5151,,Infinity,,,6433,,Neutrinos,,5894,,V-CUBE,,54,,blue 1,,4137,,IslandBots,7350,,Watts NXT?,,5037,,got robot?,,68,,red 1,,4100,,Darbots 1,,,6007,,Octopi,,6451,,Tarpon Robotics,91,,red 2,,4017,,roboPandas,,,6137,,RoBowties,,9754,,So7en,107,,red 1,,9746,,PML30-phi,,,7023,,HexaSonics,,5140,,WACO Aerobotics,,115,,blue 1,,6935,,PARADOX,8327,,Spartans,,9747,,Carousel,,,131,,blue 1,,6389,,The LazyBotts,6081,,i^2r robotics,,8330,,AZTECH II,
7655,The Q is Silqent,,,13,,blue 2,,5140,,WACO Aerobotics,6007,,Octopi,,6137,,RoBowties,,28,,red 2,,7350,,Watts NXT?,,,6299,,ViperBots QuadX,,6389,,The LazyBotts,42,,red 1,,7487,,Super 7,,,9756,,M&T,,4017,,roboPandas,,61,,blue 1,,519,,ED Too,201,,The Robo Broncos,,8471,,The Ducks,,69,,red 1,,4082,,RoboSpartans,,,4029,,2 Bits and a Byte,,9749,,Smurfs,81,,red 2,,9747,,Carousel,,,3085,,Higgs Bots,,4250,,LIGHTSABERS,,108,,blue 1,,5466,,Combustible Lemons,4530,,Infinite Resistance,,5145,,Bronz Bots,,,118,,blue 1,,4137,,IslandBots,2844,,Valley X Robotics,,4100,,Darbots 1,,,143,,blue 1,,7172,,Technical Difficulties,6735,,Team Medusa,,3595,,Schrodinger's Hat,
8221,CUBIX^3,,5,,red 2,,8471,,The Ducks,,,4318,,Super 7,,4530,,Infinite Resistance,,23,,blue 2,,3415,,Lancers,5037,,got robot?,,6137,,RoBowties,,46,,red 1,,5140,,WACO Aerobotics,,,4137,,IslandBots,,7187,,Team Axis,56,,red 1,,28,,PolyGnomes,,,3805,,Atomic Robotics,,8609,,"Blue Crew, Too",73,,red 2,,8327,,Spartans,,,6433,,Neutrinos,,9756,,M&T,,95,,blue 2,,6935,,PARADOX,6133,,"The ""NUTS!""",,7477,,Super 7,,104,,red 1,,5009,,Helios,,,6081,,i^2r robotics,,7138,,Mech Mayhem,,119,,blue 2,,201,,The Robo Broncos,3085,,Higgs Bots,,6007,,Octopi,,,129,,blue 2,,5145,,Bronz Bots,4250,,LIGHTSABERS,,9746,,PML30-phi,
8327,Spartans,,3,,red 2,,28,,PolyGnomes,,,6389,,The LazyBotts,,5151,,Infinity,,30,,blue 2,,4082,,RoboSpartans,5145,,Bronz Bots,,9048,,Philobots,,,45,,blue 1,,7138,,Mech Mayhem,4855,,Batteries In Black,,6451,,Tarpon Robotics,,53,,red 1,,5975,,CYBOTS,,,8338,,Shatterdome,,5009,,Helios,73,,red 1,,8221,,CUBIX^3,,,6433,,Neutrinos,,9756,,M&T,,86,,blue 1,,5466,,Combustible Lemons,8330,,AZTECH II,,9749,,Smurfs,,,103,,blue 1,,5096,,Monkey Madness,6133,,"The ""NUTS!""",,7187,,Team Axis,,115,,red 1,,9747,,Carousel,,,7550,,BuffnBlue 7550,,6935,,PARADOX,,132,,blue 1,,6007,,Octopi,8471,,The Ducks,,6299,,ViperBots QuadX,
8330,AZTECH II,,,15,,blue 1,,5009,,Helios,9747,,Carousel,,9756,,M&T,,,25,,blue 2,,201,,The Robo Broncos,7477,,Super 7,,5894,,V-CUBE,,38,,red 1,,5975,,CYBOTS,,,9048,,Philobots,,7350,,Watts NXT?,,50,,blue 1,,7487,,Super 7,6133,,"The ""NUTS!""",,4318,,Super 7,,,77,,blue 1,,4530,,Infinite Resistance,7138,,Mech Mayhem,,724,,RedNek Wun,,86,,red 1,,9749,,Smurfs,,,8327,,Spartans,,5466,,Combustible Lemons,101,,red 2,,6037,,W.A.G.S.,,,4100,,Darbots 1,,4082,,RoboSpartans,,122,,blue 1,,6510,,CyberSharks,4017,,roboPandas,,7006,,RoboTitans,,131,,red 2,,6081,,i^2r robotics,,,7550,,BuffnBlue 7550,,6389,,The LazyBotts
8338,Shatterdome,,4,,red 2,,9749,,Smurfs,,,4855,,Batteries In Black,,6735,,Team Medusa,24,,red 1,,9756,,M&T,,,7550,,BuffnBlue 7550,,28,,PolyGnomes,,40,,blue 1,,9754,,So7en,3085,,Higgs Bots,,724,,RedNek Wun,,,53,,blue 1,,5009,,Helios,8327,,Spartans,,5975,,CYBOTS,,80,,red 2,,4017,,roboPandas,,,8790,,MoHawk Elites,,3415,,Lancers,,89,,blue 1,,6510,,CyberSharks,3486,,Techno Warriors,,5151,,Infinity,,,99,,blue 1,,7006,,RoboTitans,4137,,IslandBots,,3805,,Atomic Robotics,,,128,,blue 2,,6451,,Tarpon Robotics,7187,,Team Axis,,4082,,RoboSpartans,,142,,red 2,,4029,,2 Bits and a Byte,,,2844,,Valley X Robotics,,6935,,PARADOX
8471,The Ducks,,5,,red 1,,8221,,CUBIX^3,,,4318,,Super 7,,4530,,Infinite Resistance,,27,,blue 1,,4250,,LIGHTSABERS,4029,,2 Bits and a Byte,,4137,,IslandBots,,,48,,blue 1,,5096,,Monkey Madness,7172,,Technical Difficulties,,7023,,HexaSonics,,61,,red 2,,201,,The Robo Broncos,,,7655,,The Q is Silqent,,519,,ED Too,,70,,blue 2,,4855,,Batteries In Black,3085,,Higgs Bots,,2844,,Valley X Robotics,,84,,red 2,,4100,,Darbots 1,,,6735,,Team Medusa,,3805,,Atomic Robotics,,111,,blue 2,,5894,,V-CUBE,9754,,So7en,,8790,,MoHawk Elites,,121,,red 1,,5037,,got robot?,,,9752,,AmazKing,,5466,,Combustible Lemons,132,,red 1,,6299,,ViperBots QuadX,,,8327,,Spartans,,6007,,Octopi
8609,"Blue Crew, Too",,7,,red 2,,7138,,Mech Mayhem,,,3595,,Schrodinger's Hat,,3085,,Higgs Bots,,32,,blue 2,,7023,,HexaSonics,4017,,roboPandas,,6037,,W.A.G.S.,,41,,red 1,,6510,,CyberSharks,,,8790,,MoHawk Elites,,2844,,Valley X Robotics,,56,,blue 2,,3805,,Atomic Robotics,8221,,CUBIX^3,,28,,PolyGnomes,,65,,red 1,,4137,,IslandBots,,,5975,,CYBOTS,,5151,,Infinity,83,,red 1,,9756,,M&T,,,4318,,Super 7,,7172,,Technical Difficulties,109,,red 1,,9752,,AmazKing,,,3486,,Techno Warriors,,7350,,Watts NXT?,120,,red 1,,9754,,So7en,,,6389,,The LazyBotts,,9746,,PML30-phi,,141,,blue 1,,724,,RedNek Wun,7006,,RoboTitans,,4100,,Darbots 1,
8790,MoHawk Elites,,9,,red 1,,5975,,CYBOTS,,,7550,,BuffnBlue 7550,,7477,,Super 7,17,,red 2,,7138,,Mech Mayhem,,,7006,,RoboTitans,,6735,,Team Medusa,,41,,blue 1,,2844,,Valley X Robotics,8609,,"Blue Crew, Too",,6510,,CyberSharks,,59,,red 2,,5145,,Bronz Bots,,,6451,,Tarpon Robotics,,7023,,HexaSonics,,80,,blue 1,,3415,,Lancers,4017,,roboPandas,,8338,,Shatterdome,,,93,,blue 1,,6389,,The LazyBotts,4082,,RoboSpartans,,724,,RedNek Wun,,111,,red 2,,9754,,So7en,,,5894,,V-CUBE,,8471,,The Ducks,126,,red 1,,7172,,Technical Difficulties,,,4530,,Infinite Resistance,,6137,,RoBowties,137,,red 1,,3805,,Atomic Robotics,,,519,,ED Too,,6037,,W.A.G.S.
9048,Philobots,,16,,red 2,,201,,The Robo Broncos,,,6037,,W.A.G.S.,,7172,,Technical Difficulties,30,,red 2,,5145,,Bronz Bots,,,4082,,RoboSpartans,,8327,,Spartans,,38,,blue 1,,7350,,Watts NXT?,8330,,AZTECH II,,5975,,CYBOTS,,62,,red 2,,4250,,LIGHTSABERS,,,5140,,WACO Aerobotics,,4855,,Batteries In Black,,75,,blue 1,,4318,,Super 7,3805,,Atomic Robotics,,3595,,Schrodinger's Hat,,,85,,blue 1,,6433,,Neutrinos,7138,,Mech Mayhem,,519,,ED Too,,106,,red 2,,6299,,ViperBots QuadX,,,6935,,PARADOX,,5151,,Infinity,,114,,blue 2,,724,,RedNek Wun,5096,,Monkey Madness,,6081,,i^2r robotics,,139,,red 1,,9749,,Smurfs,,,3415,,Lancers,,6510,,CyberSharks
9746,PML30-phi,,1,,red 2,,7006,,RoboTitans,,,6935,,PARADOX,,3486,,Techno Warriors,20,,red 1,,2844,,Valley X Robotics,,,6451,,Tarpon Robotics,,6133,,"The ""NUTS!""",34,,red 2,,519,,ED Too,,,6137,,RoBowties,,6735,,Team Medusa,60,,red 1,,3085,,Higgs Bots,,,4029,,2 Bits and a Byte,,6510,,CyberSharks,,74,,blue 2,,5466,,Combustible Lemons,7172,,Technical Difficulties,,28,,PolyGnomes,,,96,,blue 1,,6299,,ViperBots QuadX,5009,,Helios,,5894,,V-CUBE,,107,,red 2,,7550,,BuffnBlue 7550,,,7023,,HexaSonics,,5140,,WACO Aerobotics,,120,,blue 2,,6389,,The LazyBotts,8609,,"Blue Crew, Too",,9754,,So7en,,129,,red 2,,4250,,LIGHTSABERS,,,5145,,Bronz Bots,,8221,,CUBIX^3
9747,Carousel,,15,,red 1,,9756,,M&T,,,8330,,AZTECH II,,5009,,Helios,,29,,blue 1,,7187,,Team Axis,724,,RedNek Wun,,7172,,Technical Difficulties,,44,,red 2,,6299,,ViperBots QuadX,,,7006,,RoboTitans,,6037,,W.A.G.S.,,52,,blue 1,,4100,,Darbots 1,6433,,Neutrinos,,6137,,RoBowties,,,67,,blue 1,,6133,,"The ""NUTS!""",5894,,V-CUBE,,9752,,AmazKing,,81,,red 1,,7655,,The Q is Silqent,,,3085,,Higgs Bots,,4250,,LIGHTSABERS,97,,red 2,,9749,,Smurfs,,,7487,,Super 7,,5975,,CYBOTS,115,,red 2,,8327,,Spartans,,,7550,,BuffnBlue 7550,,6935,,PARADOX,,136,,blue 2,,4082,,RoboSpartans,7350,,Watts NXT?,,4530,,Infinite Resistance,
9749,Smurfs,,4,,red 1,,8338,,Shatterdome,,,4855,,Batteries In Black,,6735,,Team Medusa,,18,,blue 2,,3085,,Higgs Bots,6433,,Neutrinos,,3486,,Techno Warriors,,,47,,blue 2,,5145,,Bronz Bots,201,,The Robo Broncos,,9752,,AmazKing,,,57,,blue 2,,7006,,RoboTitans,7187,,Team Axis,,6007,,Octopi,,,69,,blue 2,,4029,,2 Bits and a Byte,7655,,The Q is Silqent,,4082,,RoboSpartans,,86,,red 2,,8330,,AZTECH II,,,8327,,Spartans,,5466,,Combustible Lemons,97,,red 1,,9747,,Carousel,,,7487,,Super 7,,5975,,CYBOTS,113,,red 1,,4250,,LIGHTSABERS,,,3805,,Atomic Robotics,,6133,,"The ""NUTS!""",139,,red 2,,9048,,Philobots,,,3415,,Lancers,,6510,,CyberSharks
9752,AmazKing,,,10,,blue 2,,5096,,Monkey Madness,6433,,Neutrinos,,6510,,CyberSharks,,19,,red 1,,519,,ED Too,,,4318,,Super 7,,5975,,CYBOTS,47,,red 2,,201,,The Robo Broncos,,,5145,,Bronz Bots,,9749,,Smurfs,,58,,blue 1,,6299,,ViperBots QuadX,4082,,RoboSpartans,,6735,,Team Medusa,,67,,red 2,,5894,,V-CUBE,,,9747,,Carousel,,6133,,"The ""NUTS!""",,94,,blue 1,,6451,,Tarpon Robotics,5140,,WACO Aerobotics,,4530,,Infinite Resistance,,109,,red 2,,8609,,"Blue Crew, Too",,,3486,,Techno Warriors,,7350,,Watts NXT?,,121,,blue 1,,5466,,Combustible Lemons,8471,,The Ducks,,5037,,got robot?,,,133,,blue 2,,9756,,M&T,4855,,Batteries In Black,,4137,,IslandBots,
9754,So7en,,,2,,blue 1,,519,,ED Too,4250,,LIGHTSABERS,,4100,,Darbots 1,,,31,,blue 1,,6935,,PARADOX,3805,,Atomic Robotics,,6510,,CyberSharks,,,40,,blue 2,,8338,,Shatterdome,3085,,Higgs Bots,,724,,RedNek Wun,,,64,,blue 2,,6081,,i^2r robotics,3415,,Lancers,,7172,,Technical Difficulties,,78,,red 1,,5009,,Helios,,,5096,,Monkey Madness,,5037,,got robot?,,91,,blue 2,,6137,,RoBowties,4017,,roboPandas,,7550,,BuffnBlue 7550,,111,,red 1,,8790,,MoHawk Elites,,,5894,,V-CUBE,,8471,,The Ducks,120,,red 2,,8609,,"Blue Crew, Too",,,6389,,The LazyBotts,,9746,,PML30-phi,134,,red 1,,7023,,HexaSonics,,,5975,,CYBOTS,,7138,,Mech Mayhem
9756,M&T,,15,,red 2,,9747,,Carousel,,,8330,,AZTECH II,,5009,,Helios,24,,red 2,,8338,,Shatterdome,,,7550,,BuffnBlue 7550,,28,,PolyGnomes,,42,,blue 1,,4017,,roboPandas,7655,,The Q is Silqent,,7487,,Super 7,,,51,,blue 1,,724,,RedNek Wun,3595,,Schrodinger's Hat,,5151,,Infinity,,,73,,blue 2,,6433,,Neutrinos,8327,,Spartans,,8221,,CUBIX^3,,83,,red 2,,8609,,"Blue Crew, Too",,,4318,,Super 7,,7172,,Technical Difficulties,98,,red 1,,6735,,Team Medusa,,,3415,,Lancers,,3085,,Higgs Bots,116,,red 1,,5140,,WACO Aerobotics,,,5975,,CYBOTS,,6299,,ViperBots QuadX,,133,,blue 1,,9752,,AmazKing,4855,,Batteries In Black,,4137,,IslandBots,
4100,Darbots 1,,2,,red 2,,4250,,LIGHTSABERS,,,9754,,So7en,,519,,ED Too,,22,,blue 2,,6081,,i^2r robotics,3595,,Schrodinger's Hat,,5140,,WACO Aerobotics,,,33,,blue 2,,7477,,Super 7,28,,PolyGnomes,,4530,,Infinite Resistance,,,52,,blue 2,,9747,,Carousel,6433,,Neutrinos,,6137,,RoBowties,,68,,red 2,,7550,,BuffnBlue 7550,,,6007,,Octopi,,6451,,Tarpon Robotics,84,,red 1,,8471,,The Ducks,,,6735,,Team Medusa,,3805,,Atomic Robotics,,101,,blue 1,,4082,,RoboSpartans,6037,,W.A.G.S.,,8330,,AZTECH II,,118,,red 2,,2844,,Valley X Robotics,,,7655,,The Q is Silqent,,4137,,IslandBots,141,,red 2,,7006,,RoboTitans,,,8609,,"Blue Crew, Too",,724,,RedNek Wun
